"","yearCE","month","lat","VSSI","HemiAssym","Duration"
"694",-4425,1,48,3.97,-1,0
"695",-4432,1,-37,0.19,-1,0
"696",-4435,1,-37,0.2,-1,0
"697",-4453,1,5,3.99,3,0
"698",-4465,1,48,2.72,-1,0
"699",-4472,1,48,2.34,-1,0
"700",-4477,1,48,2.81,-1,0
"701",-4491,1,48,3.31,-1,0
"702",-4494,1,5,6.1,7.08,0
"703",-4503,1,5,24.39,3.8,0
"704",-4506,1,-37,0.21,-1,0
"705",-4511,1,-37,0.19,-1,0
"706",-4530,1,-37,0.21,-1,0
"707",-4536,1,5,63.22,2.33,0
"708",-4538,1,-37,0.26,-1,0
"709",-4544,1,-37,0.22,-1,0
"710",-4554,1,48,6.25,-1,0
"711",-4567,1,48,13.84,-1,0
"712",-4574,1,5,3.12,2.32,0
"713",-4578,1,48,4.8,-1,0
"714",-4598,1,-37,6.41,-1,0
"715",-4600,1,-37,0.8,-1,0
"716",-4605,1,5,49.45,0.54,0
"717",-4616,1,48,3.79,-1,0
"718",-4622,1,-37,1.06,-1,0
"719",-4629,1,5,8.26,1.58,0
"720",-4635,1,48,1.08,-1,0
"721",-4655,1,48,0.99,-1,0
"722",-4666,1,5,5.18,0.73,0
"723",-4673,1,48,4.81,-1,0
"724",-4682,1,48,2.05,-1,0
"725",-4688,1,5,5.9,2.71,0
"726",-4694,1,48,3.53,-1,0
"727",-4706,1,5,11.86,0.86,0
"728",-4716,1,5,34.35,1.09,0
"729",-4726,1,48,2.93,-1,0
"730",-4741,1,-37,1.22,-1,0
"731",-4745,1,5,23.53,44.61,0
"732",-4760,1,-37,0.63,-1,0
"733",-4775,1,5,6.36,18.71,0
"734",-4788,1,-37,0.19,-1,0
"735",-4793,1,5,7.05,4.23,0
"736",-4834,1,48,2.41,-1,0
"737",-4847,1,-37,0.18,-1,0
"738",-4854,1,5,10.85,5.61,0
"739",-4857,1,48,1.12,-1,0
"740",-4878,1,5,3.17,4.95,0
"741",-4888,1,5,7.71,19.35,0
"742",-4906,1,48,1.89,-1,0
"743",-4918,1,5,6.1,9.37,0
"744",-4940,1,5,22.86,8.39,0
"745",-4946,1,5,14.21,25.22,0
"746",-4965,1,48,2.32,-1,0
"747",-4989,1,48,3.39,-1,0
"748",-5008,1,48,2.94,-1,0
"749",-5014,1,5,12.26,4.46,0
"750",-5019,1,-37,0.19,-1,0
"751",-5023,1,-37,0.39,-1,0
"752",-5027,1,48,1.64,-1,0
"753",-5043,1,48,1.35,-1,0
"754",-5055,1,48,2.29,-1,0
"755",-5067,1,-37,0.17,-1,0
"756",-5080,1,48,3.33,-1,0
"757",-5096,1,-37,0.72,-1,0
"758",-5107,1,5,11.57,35.51,0
"759",-5130,1,48,2.47,-1,0
"760",-5137,1,64,0.24,-1,24
"761",-5139,1,64,0.28,-1,24
"762",-5142,1,64,0.45,-1,36
"763",-5144,1,5,6.62,1.82,0
"764",-5146,1,64,0.17,-1,24
"765",-5148,1,64,0.17,-1,24
"766",-5153,1,5,5.44,4.68,0
"767",-5157,1,-37,0.22,-1,0
"768",-5162,1,48,6.76,-1,0
"769",-5169,1,48,2.24,-1,0
"770",-5189,1,64,0.36,-1,24
"771",-5192,1,5,9.24,10.4,0
"772",-5194,1,64,0.75,-1,24
"773",-5196,1,64,0.34,-1,24
"774",-5198,1,64,0.72,-1,24
"775",-5207,1,-37,0.35,-1,0
"776",-5211,1,48,1.55,-1,0
"777",-5215,1,-37,0.19,-1,0
"778",-5222,1,-37,0.25,-1,0
"779",-5230,1,5,189.4,5.27,0
"780",-5238,1,-37,1.61,-1,0
"781",-5249,1,-37,0.39,-1,0
"782",-5281,1,-37,0.54,-1,0
"783",-5293,1,48,4.01,-1,0
"784",-5297,1,-37,4.21,-1,0
"785",-5303,1,-37,0.61,-1,0
"786",-5308,1,5,13.79,6.31,0
"787",-5320,1,-37,0.35,-1,0
"788",-5336,1,5,10.23,10.02,0
"789",-5344,1,5,2.43,2.51,0
"790",-5352,1,48,2.59,-1,0
"791",-5361,1,5,6.4,1.64,0
"792",-5364,1,48,1.87,-1,0
"793",-5382,1,48,2.85,-1,0
"794",-5389,1,48,1.21,-1,0
"795",-5401,1,5,13.66,22.68,0
"796",-5412,1,-37,1.02,-1,0
"797",-5440,1,48,3.07,-1,0
"798",-5444,1,-37,0.54,-1,0
"799",-5466,1,5,33.23,7.4,0
"800",-5469,1,-37,0.37,-1,0
"801",-5492,1,-37,0.52,-1,0
"802",-5511,1,48,3.37,-1,0
"803",-5520,1,-37,1.33,-1,0
"804",-5523,1,5,10.25,4.14,0
"805",-5527,1,5,4.55,3.32,0
"806",-5535,1,5,15.06,17.99,0
"807",-5539,1,48,1.52,-1,0
"808",-5551,1,5,8.72,19.38,0
"809",-5558,1,5,6.78,9.91,0
"810",-5565,1,5,11.18,6.42,0
"811",-5579,1,48,7.53,-1,0
"812",-5588,1,48,13.01,-1,0
"813",-5609,1,48,2.37,-1,0
"814",-5615,1,5,9.26,1.98,0
"815",-5625,1,40,161.67,3.62,0
"816",-5632,1,5,7.14,1.73,0
"817",-5636,1,5,13.77,9.51,0
"818",-5648,1,-37,0.39,-1,0
"819",-5655,1,-37,0.16,-1,0
"820",-5688,1,48,5.41,-1,0
"821",-5699,1,5,11.65,15.93,0
"822",-5721,1,48,3.75,-1,0
"823",-5725,1,5,14.1,10.19,0
"824",-5728,1,-37,0.56,-1,0
"825",-5748,1,48,2.53,-1,0
"826",-5762,1,48,4,-1,0
"827",-5776,1,48,1.05,-1,0
"828",-5785,1,48,1.34,-1,0
"829",-5789,1,-37,0.17,-1,0
"830",-5793,1,5,4.18,3.68,0
"831",-5800,1,5,9.35,4.99,0
"832",-5809,1,48,5.13,-1,0
"833",-5822,1,48,2.01,-1,0
"834",-5848,1,5,20.03,1.12,0
"835",-5855,1,48,7.72,-1,0
"836",-5863,1,48,4.63,-1,0
"837",-5868,1,-37,0.87,-1,0
"838",-5876,1,5,2.42,6.39,0
"839",-5886,1,48,7.29,-1,0
"840",-5889,1,5,2.98,1.4,0
"841",-5904,1,48,1.52,-1,0
"842",-5910,1,48,2.69,-1,0
"843",-5914,1,-37,1.63,-1,0
"844",-5918,1,48,1.48,-1,0
"845",-5924,1,5,30.05,2.25,0
"846",-5935,1,48,4.66,-1,0
"847",-5945,1,-37,0.53,-1,0
"848",-5947,1,-37,0.29,-1,0
"849",-5963,1,48,1.92,-1,0
"850",-5968,1,-37,0.18,-1,0
"851",-5981,1,-37,0.8,-1,0
"852",-6008,1,48,4.04,-1,0
"853",-6014,1,-37,0.72,-1,0
"854",-6019,1,5,13.3,2.3,0
"855",-6025,1,-37,0.48,-1,0
"856",-6032,1,48,2.17,-1,0
"857",-6036,1,64,0.62,-1,24
"858",-6039,1,5,10.25,4.35,0
"859",-6041,1,64,0.29,-1,24
"860",-6043,1,64,0.19,-1,24
"861",-6045,1,64,0.25,-1,24
"862",-6047,1,64,0.35,-1,24
"863",-6050,1,64,0.92,-1,36
"864",-6053,1,5,12.9,15.57,0
"865",-6067,1,48,3.86,-1,0
"866",-6089,1,48,1.11,-1,0
"867",-6096,1,-37,0.78,-1,0
"868",-6105,1,5,7.02,11.29,0
"869",-6113,1,5,4.18,1.17,0
"870",-6122,1,-37,0.51,-1,0
"871",-6128,1,48,3.39,-1,0
"872",-6142,1,5,14.42,5.41,0
"873",-6164,1,48,4.73,-1,0
"874",-6181,1,-37,0.22,-1,0
"875",-6192,1,-37,0.87,-1,0
"876",-6197,1,48,1.61,-1,0
"877",-6202,1,-37,0.65,-1,0
"878",-6205,1,5,10.04,7.07,0
"879",-6211,1,5,6.37,3.62,0
"880",-6219,1,48,17.5,-1,0
"881",-6226,1,-37,1.56,-1,0
"882",-6231,1,5,17.92,0.32,0
"883",-6242,1,48,3.29,-1,0
"884",-6251,1,48,2.1,-1,0
"885",-6267,1,-37,0.43,-1,0
"886",-6273,1,5,4.36,1.75,0
"887",-6275,1,-37,0.42,-1,0
"888",-6282,1,5,40.06,3.84,0
"889",-6286,1,5,5.47,3.27,0
"890",-6288,1,48,1.82,-1,0
"891",-6291,1,48,0.78,-1,0
"892",-6297,1,48,2.95,-1,0
"893",-6302,1,48,7.37,-1,0
"894",-6304,1,5,6.13,0.3,0
"895",-6316,1,48,2.22,-1,0
"896",-6320,1,-37,2.79,-1,0
"897",-6335,1,5,1.64,1.9,0
"898",-6341,1,5,52.48,17.86,0
"899",-6364,1,48,1.45,-1,0
"900",-6374,1,-37,1.59,-1,0
"901",-6381,1,48,1.08,-1,0
"902",-6383,1,5,6.24,3.48,0
"903",-6392,1,5,4.12,5.15,0
"904",-6404,1,48,0.9,-1,0
"905",-6416,1,5,141.9,10.31,0
"906",-6419,1,-37,1.09,-1,0
"907",-6423,1,-37,0.59,-1,0
"908",-6429,1,48,3.1,-1,0
"909",-6440,1,48,1.91,-1,0
"910",-6454,1,5,6.58,3.42,0
"911",-6461,1,5,5.87,8.9,0
"912",-6464,1,48,2.86,-1,0
"913",-6475,1,5,6.1,15.64,0
"914",-6489,1,48,9.45,-1,0
"915",-6493,1,5,13.88,2.77,0
"916",-6506,1,-37,0.61,-1,0
"917",-6515,1,48,0.9,-1,0
"918",-6540,1,48,2.92,-1,0
"919",-6550,1,48,20.08,-1,0
"920",-6556,1,-37,0.25,-1,0
"921",-6565,1,48,1.15,-1,0
"922",-6575,1,-37,0.2,-1,0
"923",-6578,1,5,4.16,3.69,0
"924",-6583,1,-37,0.52,-1,0
"925",-6587,1,-37,0.2,-1,0
"926",-6591,1,48,2.18,-1,0
"927",-6604,1,-37,1.4,-1,0
"928",-6614,1,48,3.36,-1,0
"929",-6622,1,48,6.08,-1,0
"930",-6638,1,48,0.84,-1,0
"931",-6651,1,48,5.91,-1,0
"932",-6659,1,5,9.88,2.72,0
"933",-6667,1,5,155.9,6.59,0
"934",-6670,1,48,1.39,-1,0
"935",-6679,1,48,1.29,-1,0
"936",-6683,1,48,2.13,-1,0
"937",-6694,1,48,1.98,-1,0
"938",-6709,1,5,21.51,73.09,0
"939",-6719,1,48,5.38,-1,0
"940",-6728,1,48,0.92,-1,0
"941",-6734,1,48,5.72,-1,0
"942",-6740,1,48,2.27,-1,0
"943",-6745,1,5,5.27,7.93,0
"944",-6748,1,48,1.88,-1,0
"945",-6764,1,5,7.49,9.07,0
"946",-6769,1,48,2.79,-1,0
"947",-6777,1,48,3.11,-1,0
"948",-6787,1,48,1.34,-1,0
"949",-6793,1,48,4.76,-1,0
"950",-6797,1,-37,0.37,-1,0
"951",-6803,1,-37,0.44,-1,0
"952",-6811,1,48,1.97,-1,0
"953",-6815,1,-37,0.42,-1,0
"954",-6834,1,-37,0.87,-1,0
"955",-6850,1,48,1.81,-1,0
"956",-6858,1,5,9.83,14.38,0
"957",-6878,1,48,3.62,-1,0
"958",-6882,1,48,2.56,-1,0
"959",-6893,1,48,2.4,-1,0
"960",-6899,1,5,9.2,6.34,0
"961",-6904,1,5,36.77,11.55,0
"962",-6906,1,-37,0.63,-1,0
"963",-6913,1,-37,1.19,-1,0
"964",-6924,1,48,8.61,-1,0
"965",-6929,1,5,4.32,11.75,0
"966",-6951,1,48,1.61,-1,0
"967",-6958,1,48,2.88,-1,0
"968",-6975,1,-37,0.35,-1,0
"969",-6979,1,5,5.76,6.02,0
"970",-6987,1,48,1.95,-1,0
"971",-6991,1,48,1.08,-1,0
"972",-6995,1,5,8.18,1.71,0
"973",-7000,1,-37,0.4,-1,0
"974",-7008,1,5,14.62,18.41,0
"975",-7013,1,48,12.75,-1,0
"976",-7018,1,48,3.71,-1,0
"977",-7022,1,5,1.9,4.3,0
"978",-7036,1,48,1.26,-1,0
"979",-7050,1,5,25.47,62.13,0
"980",-7059,1,5,2.05,4.51,0
"981",-7102,1,48,1.8,-1,0
"982",-7113,1,-37,1.22,-1,0
"983",-7117,1,5,36.59,3.84,0
"984",-7123,1,48,10.31,-1,0
"985",-7129,1,5,3.94,1.17,0
"986",-7132,1,-37,1.54,-1,0
"987",-7138,1,-37,0.9,-1,0
"988",-7151,1,-37,0.22,-1,0
"989",-7161,1,48,2.06,-1,0
"990",-7185,1,-37,1.16,-1,0
"991",-7187,1,5,10.22,17.55,0
"992",-7196,1,48,3.42,-1,0
"993",-7199,1,5,4.15,2.81,0
"994",-7203,1,5,4.91,5.22,0
"995",-7216,1,48,9.28,-1,0
"996",-7228,1,48,7.14,-1,0
"997",-7232,1,48,1.46,-1,0
"998",-7237,1,48,2.71,-1,0
"999",-7241,1,48,1.49,-1,0
"1000",-7248,1,48,5.29,-1,0
"1001",-7255,1,48,5.12,-1,0
"1002",-7258,1,-37,0.75,-1,0
"1003",-7264,1,48,2.56,-1,0
"1004",-7268,1,-37,0.53,-1,0
"1005",-7277,1,5,3.6,4.91,0
"1006",-7286,1,48,4.27,-1,0
"1007",-7291,1,48,1.27,-1,0
"1008",-7300,1,48,6.42,-1,0
"1009",-7309,1,-37,0.2,-1,0
"1010",-7333,1,48,6.45,-1,0
"1011",-7339,1,48,3.95,-1,0
"1012",-7351,1,5,4.04,5.29,0
"1013",-7366,1,-37,2.18,-1,0
"1014",-7369,1,48,4.68,-1,0
"1015",-7380,1,48,7.48,-1,0
"1016",-7384,1,5,5,3.3,0
"1017",-7404,1,48,14.2,-1,0
"1018",-7408,1,-37,3.71,-1,0
"1019",-7410,1,-37,0.18,-1,0
"1020",-7424,1,64,0.23,-1,24
"1021",-7427,1,64,0.31,-1,36
"1022",-7429,1,64,0.27,-1,24
"1023",-7431,1,64,0.39,-1,24
"1024",-7434,1,64,0.45,-1,36
"1025",-7445,1,48,1.61,-1,0
"1026",-7454,1,48,10.65,-1,0
"1027",-7459,1,48,5.7,-1,0
"1028",-7463,1,64,0.47,-1,24
"1029",-7465,1,64,0.45,-1,24
"1030",-7468,1,64,0.69,-1,36
"1031",-7470,1,64,0.74,-1,24
"1032",-7472,1,64,0.55,-1,24
"1033",-7477,1,64,0.43,-1,60
"1034",-7479,1,64,0.67,-1,24
"1035",-7482,1,64,1.06,-1,36
"1036",-7484,1,64,1.41,-1,24
"1037",-7485,1,5,4.85,7.17,0
"1038",-7488,1,64,0.75,-1,24
"1039",-7491,1,64,1.13,-1,36
"1040",-7493,1,64,0.73,-1,24
"1041",-7495,1,64,0.76,-1,24
"1042",-7498,1,64,1.24,-1,36
"1043",-7500,1,64,1.46,-1,24
"1044",-7502,1,5,18.84,2.67,0
"1045",-7504,1,64,1.48,-1,24
"1046",-7506,1,5,8.97,22.96,0
"1047",-7509,1,64,0.69,-1,24
"1048",-7512,1,5,14.8,9.21,0
"1049",-7514,1,64,0.71,-1,24
"1050",-7516,1,64,0.53,-1,24
"1051",-7518,1,64,0.76,-1,24
"1052",-7520,1,64,0.86,-1,24
"1053",-7522,1,64,0.57,-1,24
"1054",-7536,1,48,1.97,-1,0
"1055",-7546,1,48,25.29,-1,0
"1056",-7567,1,5,7.84,24.11,0
"1057",-7570,1,48,2.63,-1,0
"1058",-7593,1,-37,0.29,-1,0
"1059",-7601,1,48,7.87,-1,0
"1060",-7612,1,48,6.15,-1,0
"1061",-7627,1,5,7.48,3.01,0
"1062",-7644,1,48,5.22,-1,0
"1063",-7658,1,-37,1.65,-1,0
"1064",-7677,1,5,3.41,3.19,0
"1065",-7682,1,48,1.75,-1,0
"1066",-7693,1,-37,0.38,-1,0
"1067",-7701,1,48,4.72,-1,0
"1068",-7712,1,48,1.75,-1,0
"1069",-7724,1,48,8.57,-1,0
"1070",-7730,1,64,0.41,-1,24
"1071",-7733,1,64,0.75,-1,36
"1072",-7735,1,64,0.37,-1,24
"1073",-7735,1,5,10.08,0.96,0
"1074",-7739,1,64,0.69,-1,24
"1075",-7741,1,64,0.8,-1,24
"1076",-7743,1,64,0.63,-1,24
"1077",-7745,1,64,0.98,-1,24
"1078",-7747,1,64,1.88,-1,24
"1079",-7749,1,64,1.25,-1,24
"1080",-7751,1,64,1,-1,24
"1081",-7753,1,64,0.73,-1,24
"1082",-7755,1,64,0.33,-1,24
"1083",-7757,1,64,0.51,-1,24
"1084",-7758,1,5,6.56,5.82,0
"1085",-7761,1,5,4.68,6.71,0
"1086",-7763,1,64,0.36,-1,24
"1087",-7765,1,64,0.48,-1,24
"1088",-7770,1,-37,0.32,-1,0
"1089",-7778,1,5,17.48,4.17,0
"1090",-7807,1,5,10.98,3.7,0
"1091",-7811,1,-37,0.18,-1,0
"1092",-7823,1,48,3.1,-1,0
"1093",-7838,1,5,14.29,33.53,0
"1094",-7843,1,5,45.22,1.65,0
"1095",-7860,1,48,4.97,-1,0
"1096",-7866,1,-37,0.75,-1,0
"1097",-7871,1,-37,0.25,-1,0
"1098",-7879,1,48,13.33,-1,0
"1099",-7882,1,-37,0.19,-1,0
"1100",-7887,1,64,0.36,-1,24
"1101",-7889,1,64,0.23,-1,24
"1102",-7892,1,5,15.44,0.33,0
"1103",-7894,1,64,0.31,-1,24
"1104",-7896,1,64,0.62,-1,24
"1105",-7898,1,64,0.57,-1,24
"1106",-7900,1,64,0.5,-1,24
"1107",-7902,1,64,0.6,-1,24
"1108",-7904,1,64,0.76,-1,24
"1109",-7918,1,48,2.13,-1,0
"1110",-7923,1,64,0.49,-1,24
"1111",-7925,1,5,14.85,35.34,0
"1112",-7927,1,64,0.88,-1,24
"1113",-7929,1,64,1.64,-1,24
"1114",-7931,1,64,0.34,-1,24
"1115",-7937,1,48,1.91,-1,0
"1116",-7941,1,48,2.25,-1,0
"1117",-7945,1,-37,0.36,-1,0
"1118",-7948,1,-37,0.34,-1,0
"1119",-7952,1,5,8.72,3.65,0
"1120",-7954,1,-37,0.31,-1,0
"1121",-7958,1,-37,0.19,-1,0
"1122",-7968,1,5,12.64,14.56,0
"1123",-7983,1,64,0.39,-1,24
"1124",-7985,1,64,0.61,-1,24
"1125",-7988,1,5,13.09,4.97,0
"1126",-7989,1,64,1.25,-1,24
"1127",-7991,1,64,1.35,-1,24
"1128",-7994,1,64,1.49,-1,36
"1129",-7996,1,64,0.52,-1,24
"1130",-7998,1,64,1.26,-1,24
"1131",-8000,1,64,1.38,-1,24
"1132",-8002,1,64,1.74,-1,24
"1133",-8024,1,5,13.15,5.12,0
"1134",-8027,1,5,23.73,27.7,0
"1135",-8036,1,5,14.9,3.39,0
"1136",-8050,1,64,0.51,-1,24
"1137",-8052,1,64,0.31,-1,24
"1138",-8054,1,64,0.35,-1,24
"1139",-8056,1,64,1.37,-1,24
"1140",-8059,1,5,7.05,4,0
"1141",-8060,1,64,0.49,-1,24
"1142",-8065,1,5,6.46,3.77,0
"1143",-8066,1,64,0.43,-1,24
"1144",-8069,1,5,8.96,2.37,0
"1145",-8070,1,64,1.75,-1,24
"1146",-8074,1,5,18.24,2.18,0
"1147",-8099,1,-37,0.5,-1,0
"1148",-8103,1,-37,0.78,-1,0
"1149",-8115,1,-37,0.96,-1,0
"1150",-8134,1,5,72.45,1.93,0
"1151",-8142,1,48,8.44,-1,0
"1152",-8147,1,48,1.87,-1,0
"1153",-8151,1,48,1.28,-1,0
"1154",-8162,1,-37,1.34,-1,0
"1155",-8169,1,5,17.12,0.52,0
"1156",-8172,1,-37,0.51,-1,0
"1157",-8183,1,48,28.08,-1,0
"1158",-8201,1,-37,0.52,-1,0
"1159",-8216,1,5,3.31,8.65,0
"1160",-8219,1,-37,0.14,-1,0
"1161",-8226,1,5,4.32,3.39,0
"1162",-8235,1,5,2.66,4.38,0
"1163",-8240,1,-37,0.47,-1,0
"1164",-8243,1,48,2.7,-1,0
"1165",-8251,1,-37,0.45,-1,0
"1166",-8255,1,-37,0.79,-1,0
"1167",-8258,1,-37,0.17,-1,0
"1168",-8261,1,-37,0.38,-1,0
"1169",-8264,1,48,1.8,-1,0
"1170",-8272,1,64,0.31,-1,24
"1171",-8275,1,5,7.09,5.14,0
"1172",-8277,1,5,80.07,204.43,0
"1173",-8278,1,64,0.66,-1,24
"1174",-8280,1,64,0.81,-1,24
"1175",-8282,1,64,0.83,-1,24
"1176",-8285,1,64,0.85,-1,36
"1177",-8287,1,5,52.26,14.99,0
"1178",-8289,1,5,21.39,5.51,0
"1179",-8291,1,64,1.13,-1,24
"1180",-8293,1,64,1.87,-1,24
"1181",-8295,1,64,1.78,-1,24
"1182",-8297,1,64,1.63,-1,24
"1183",-8300,1,64,1.87,-1,36
"1184",-8302,1,64,0.98,-1,24
"1185",-8304,1,64,1.23,-1,24
"1186",-8308,1,5,10.06,29.03,0
"1187",-8312,1,48,1.91,-1,0
"1188",-8329,1,5,12.57,12.99,0
"1189",-8349,1,-37,0.54,-1,0
"1190",-8352,1,-37,0.46,-1,0
"1191",-8359,1,48,1.42,-1,0
"1192",-8365,1,48,4.92,-1,0
"1193",-8372,1,64,0.55,-1,24
"1194",-8374,1,64,0.53,-1,24
"1195",-8376,1,64,1.16,-1,24
"1196",-8378,1,64,0.44,-1,24
"1197",-8379,1,5,9.25,1.19,0
"1198",-8383,1,5,11.53,8.93,0
"1199",-8386,1,48,1.29,-1,0
"1200",-8402,1,5,5.17,3.24,0
"1201",-8404,1,64,0.6,-1,24
"1202",-8406,1,64,2.55,-1,24
"1203",-8408,1,64,8.3,-1,24
"1204",-8410,1,5,27.87,0.62,0
"1205",-8412,1,-37,1.41,-1,0
"1206",-8430,1,48,2.36,-1,0
"1207",-8434,1,-37,1.41,-1,0
"1208",-8441,1,5,27.17,1.61,0
"1209",-8446,1,5,5.84,2.37,0
"1210",-8450,1,-37,0.3,-1,0
"1211",-8455,1,5,12.3,1.43,0
"1212",-8465,1,5,5.12,12.88,0
"1213",-8485,1,5,24.65,7.32,0
"1214",-8489,1,-37,0.32,-1,0
"1215",-8493,1,48,2.67,-1,0
"1216",-8517,1,48,18.91,-1,0
"1217",-8523,1,-37,1.92,-1,0
"1218",-8525,1,5,16.84,22.76,0
"1219",-8530,1,-37,0.61,-1,0
"1220",-8538,1,48,1.25,-1,0
"1221",-8550,1,5,16.61,1.77,0
"1222",-8553,1,-37,0.34,-1,0
"1223",-8558,1,48,7.39,-1,0
"1224",-8575,1,48,8.71,-1,0
"1225",-8581,1,5,5.43,16.51,0
"1226",-8593,1,48,1.97,-1,0
"1227",-8602,1,64,0.34,-1,24
"1228",-8604,1,64,0.69,-1,24
"1229",-8607,1,64,0.79,-1,36
"1230",-8609,1,5,9.52,20.89,0
"1231",-8611,1,64,0.65,-1,24
"1232",-8618,1,5,3.54,9.4,0
"1233",-8623,1,5,4.67,1.99,0
"1234",-8639,1,5,4.98,8.23,0
"1235",-8652,1,-37,0.62,-1,0
"1236",-8654,1,5,33.56,50.73,0
"1237",-8666,1,48,1.78,-1,0
"1238",-8674,1,48,5.46,-1,0
"1239",-8684,1,-37,0.46,-1,0
"1240",-8690,1,-37,0.87,-1,0
"1241",-8694,1,-37,0.99,-1,0
"1242",-8702,1,-37,0.4,-1,0
"1243",-8708,1,48,3.97,-1,0
"1244",-8713,1,48,2.64,-1,0
"1245",-8719,1,64,0.55,-1,24
"1246",-8721,1,64,0.46,-1,24
"1247",-8723,1,64,0.35,-1,24
"1248",-8724,1,5,8.32,3.59,0
"1249",-8727,1,64,0.57,-1,24
"1250",-8730,1,64,0.5,-1,36
"1251",-8732,1,64,0.37,-1,24
"1252",-8734,1,64,0.48,-1,24
"1253",-8736,1,64,0.8,-1,24
"1254",-8738,1,64,0.85,-1,24
"1255",-8740,1,64,0.65,-1,24
"1256",-8742,1,64,0.93,-1,24
"1257",-8744,1,64,0.35,-1,24
"1258",-8746,1,64,0.45,-1,24
"1259",-8748,1,64,0.4,-1,24
"1260",-8751,1,64,0.62,-1,36
"1261",-8753,1,5,10.28,13.04,0
"1262",-8756,1,-37,0.2,-1,0
"1263",-8763,1,-37,0.22,-1,0
"1264",-8767,1,-37,0.15,-1,0
"1265",-8781,1,-37,1.46,-1,0
"1266",-8790,1,5,3.91,1.94,0
"1267",-8792,1,-37,0.3,-1,0
"1268",-8797,1,-37,0.33,-1,0
"1269",-8812,1,-37,0.8,-1,0
"1270",-8815,1,48,2.51,-1,0
"1271",-8821,1,5,2.73,7.93,0
"1272",-8828,1,48,2.74,-1,0
"1273",-8835,1,5,3.48,4.18,0
"1274",-8838,1,5,16.88,43.52,0
"1275",-8842,1,-37,0.18,-1,0
"1276",-8844,1,48,1.97,-1,0
"1277",-8861,1,-37,0.67,-1,0
"1278",-8865,1,48,4.51,-1,0
"1279",-8869,1,64,0.45,-1,24
"1280",-8871,1,64,0.34,-1,24
"1281",-8873,1,5,3.07,4.89,0
"1282",-8875,1,64,0.41,-1,24
"1283",-8877,1,5,3.15,2.88,0
"1284",-8879,1,64,0.33,-1,24
"1285",-8888,1,-37,0.43,-1,0
"1286",-8897,1,48,4.06,-1,0
"1287",-8906,1,5,14.57,5.6,0
"1288",-8934,1,-37,0.31,-1,0
"1289",-8945,1,-37,0.84,-1,0
"1290",-8964,1,5,5.46,1.25,0
"1291",-8965,1,64,0.46,-1,24
"1292",-8967,1,64,0.8,-1,24
"1293",-8970,1,5,4.63,2.39,0
"1294",-8971,1,64,0.23,-1,24
"1295",-8983,1,48,1.79,-1,0
"1296",-8991,1,5,9.88,6.86,0
"1297",-8995,1,-37,0.32,-1,0
"1298",-9002,1,-37,0.39,-1,0
"1299",-9010,1,5,83.67,2.41,0
"1300",-9014,1,-37,0.39,-1,0
"1301",-9018,1,48,8.43,-1,0
"1302",-9022,1,48,4.59,-1,0
"1303",-9031,1,48,16.53,-1,0
"1304",-9036,1,5,32.24,5.54,0
"1305",-9042,1,48,5.64,-1,0
"1306",-9046,1,-37,0.45,-1,0
"1307",-9050,1,48,1.55,-1,0
"1308",-9067,1,48,13.85,-1,0
"1309",-9071,1,5,6.98,16.28,0
"1310",-9083,1,5,12.33,16.84,0
"1311",-9093,1,-37,0.36,-1,0
"1312",-9126,1,48,12.89,-1,0
"1313",-9138,1,64,0.29,-1,24
"1314",-9141,1,5,12.18,3.7,0
"1315",-9142,1,64,0.29,-1,24
"1316",-9144,1,64,0.65,-1,24
"1317",-9146,1,64,0.7,-1,24
"1318",-9148,1,64,0.58,-1,24
"1319",-9150,1,64,0.82,-1,24
"1320",-9151,1,64,0.91,-1,12
"1321",-9153,1,5,19.86,1.01,0
"1322",-9166,1,64,0.38,-1,24
"1323",-9168,1,64,0.34,-1,24
"1324",-9170,1,64,0.3,-1,24
"1325",-9171,1,64,0.37,-1,12
"1326",-9174,1,5,3.47,2.64,0
"1327",-9176,1,5,4.54,9.46,0
"1328",-9177,1,64,0.73,-1,24
"1329",-9179,1,64,0.54,-1,24
"1330",-9181,1,64,0.69,-1,24
"1331",-9184,1,5,20.36,2.28,0
"1332",-9184,1,64,0.83,-1,24
"1333",-9186,1,64,0.68,-1,24
"1334",-9188,1,5,13.02,12.12,0
"1335",-9190,1,64,0.37,-1,24
"1336",-9192,1,64,0.49,-1,24
"1337",-9204,1,5,23.49,14.6,0
"1338",-9212,1,-37,5.8,-1,0
"1339",-9219,1,5,20.42,0.88,0
"1340",-9226,1,5,155.95,13.96,0
"1341",-9242,1,5,7.73,1.32,0
"1342",-9244,1,-37,0.28,-1,0
"1343",-9247,1,-37,0.45,-1,0
"1344",-9257,1,48,20.11,-1,0
"1345",-9274,1,-37,0.29,-1,0
"1346",-9278,1,-37,1.74,-1,0
"1347",-9291,1,-37,0.39,-1,0
"1348",-9299,1,48,2.73,-1,0
"1349",-9304,1,64,0.72,-1,24
"1350",-9306,1,64,0.53,-1,24
"1351",-9308,1,64,0.83,-1,24
"1352",-9310,1,64,0.36,-1,24
"1353",-9312,1,64,0.8,-1,24
"1354",-9319,1,48,8.11,-1,0
"1355",-9326,1,64,0.76,-1,24
"1356",-9328,1,64,0.56,-1,24
"1357",-9330,1,64,0.65,-1,24
"1358",-9332,1,64,0.71,-1,24
